DateTime,P_Neg,P_Neu,P_Pos,P_Comp,Price
3/30/2022,0.045267606,0.873830984,0.080887324,0.086104223,29333883962
3/31/2022,0.099900001,0.863100004,0.037,-0.067259999,33327427106
4/1/2022,0.033258065,0.906419351,0.060354838,0.033199997,38162644287
4/2/2022,0.031028572,0.893885713,0.075028571,0.097159998,29336594194
4/3/2022,0.064411766,0.841470587,0.094117648,0.102708822,25414397610
4/4/2022,0.041874999,0.906187497,0.0519375,0.002868748,32499785455
4/5/2022,0.064038463,0.855576923,0.080346154,0.044338463,29640604055
4/6/2022,0.034342858,0.906628573,0.059028572,0.08522571,39393395788
4/7/2022,0.033432433,0.843162164,0.123432432,0.28365135,26101973106
4/8/2022,0.045679999,0.844159997,0.11016,0.160755998,27215995394
4/9/2022,0.026999999,0.898571427,0.074428571,0.071792856,16050772496
4/10/2022,0.030888888,0.891222219,0.078000001,0.136077783,17654475582
4/11/2022,0.041257576,0.861818183,0.096909091,0.145834848,33949912166
4/12/2022,0.02964151,0.901584908,0.068754717,0.092567924,30991500854
4/13/2022,0.036826087,0.885086954,0.078043479,0.036621739,27691105228
4/14/2022,0.0121,0.951499999,0.0364,0.079909998,24342001973
4/15/2022,0.032152778,0.862833335,0.10498611,0.170965276,21756855753
4/16/2022,0.043090909,0.842431813,0.114454544,0.181372726,16833150693
4/17/2022,0.053434783,0.849252176,0.097339131,0.11192261,19087633042
4/18/2022,0.032410257,0.866538457,0.101025641,0.156571795,33705182072
4/19/2022,0.040378378,0.817486483,0.142135134,0.294827028,25303206547
4/20/2022,0.033717949,0.833923077,0.132384614,0.259864103,27819532341
4/21/2022,0.051142857,0.83114286,0.117714286,0.208828567,35372786395
4/22/2022,0.040378788,0.870484847,0.089121212,0.092360606,28011716745
4/23/2022,0.037849315,0.88017808,0.081972602,0.123283557,16138021249
4/24/2022,0.039230769,0.859820513,0.100974358,0.182971793,17964398167
4/25/2022,0.050597402,0.82511688,0.124311687,0.221472726,35445730570
4/26/2022,0.0317,0.880833331,0.087499998,0.194279999,34569088416
4/27/2022,0.056102564,0.837384611,0.106564102,0.15053077,30981015184
4/28/2022,0.012714286,0.898142858,0.089142858,0.182871428,33903704907
4/29/2022,0.0458,0.861866669,0.092333333,0.131253338,30882994649
4/30/2022,0.075782609,0.783391306,0.140826088,0.169043478,23895713731
5/1/2022,0.021046512,0.872116277,0.106825581,0.209409301,27002760110
5/2/2022,0.023934426,0.874696721,0.101393442,0.198404094,32922642426
5/3/2022,0.057119403,0.828865671,0.114044777,0.18601791,27326943244
5/4/2022,0.039410257,0.851444442,0.109145299,0.182668376,36754404490
5/5/2022,0.034387097,0.815935487,0.14967742,0.2632871,43106256317
5/6/2022,0.03544,0.886920002,0.07764,0.201851995,37795577489
5/7/2022,0.045829787,0.86982979,0.084382978,0.106910637,24375896406
5/8/2022,0.044710526,0.839605263,0.11568421,0.152313158,36763041910
5/9/2022,0.029210527,0.879684212,0.091070176,0.129454387,63355494961
